59,18
R,8
59,15
R,10
59,16
R,9
59,15
R,10
59,16
R,9
57,17
R,9
59,18
R,32
59,16
R,9
59,14
R,11
59,15
R,10
59,16
R,9
59,18
R,7
57,16
R,9
59,19
R,31
59,15
R,10
59,15
R,10
59,14
R,11
59,16
R,10
59,16
R,9
57,14
R,10
57,18
R,32
57,15
R,10
57,17
R,8
55,13
R,12
55,26
R,11
62,31
R,7
59,21
R,28
59,16
R,9
59,14
R,10
59,15
R,10
59,15
R,10
59,16
R,9
57,16
R,9
59,17
R,33
59,16
R,9
59,14
R,10
59,15
R,10
59,15
R,10
59,17
R,8
57,16
R,9
59,16
R,34
59,17
R,8
59,16
R,9
59,15
R,10
59,15
R,10
59,16
R,9
57,16
R,9
57,17
R,33
57,15
R,10
57,18
R,8
55,14
R,10
55,25
R,12
62,31
R,6
59,20
R,53
62,28
R,22
62,9
R,4
59,17
R,8
57,17
R,8
55,13
R,25
62,21
R,29
62,20
R,30
62,6
R,7
59,17
R,8
57,16
R,8
55,11
R,26
62,20
R,30
62,24
R,26
62,9
R,4
59,16
R,10
57,17
R,8
55,11
R,25
67,17
R,8
67,14
R,10
67,15
R,10
67,14
R,10
67,17
R,8
67,14
R,11
69,20
R,5
71,14
R,58
67,28
R,22
59,11
R,2
62,13
R,12
67,19
R,6
62,15
R,96
59,16
R,9
59,13
62,7
R,17
71,29
R,8
67,13
R,86
67,16
R,9
71,19
R,6
72,16
R,8
71,18
R,6
67,15
R,85
67,15
R,10
71,19
R,6
69,13
R,12
69,18
R,7
67,15
R,57
67,28
R,22
59,11
R,2
62,13
R,12
67,19
R,6
62,15
R,100
R,17
59,16
R,7
62,12
R,6
71,29
R,8
67,13
R,86
67,16
R,9
71,19
R,6
72,16
R,8
71,18
R,6
67,15
R,85
67,15
R,10
71,19
R,6
69,13
R,12
69,18
R,7
67,15
R,57
67,28
R,22
59,11
R,2
62,13
R,12
67,19
R,6
62,15
R,96
59,16
R,9
59,13
62,8
R,16
71,29
R,8
67,13
R,86
67,16
R,9
71,19
R,6
72,16
R,8
71,18
R,6
67,15
R,85
67,15
R,10
71,19
R,6
69,13
R,12
69,18
R,7
67,15
R,57
67,28
R,22
59,11
R,2
62,13
R,6
67,5
R,20
67,6
R,6
62,15
R,100
R,18
59,16
R,2
62,12
R,6
71,29
R,8
67,13
R,86
67,16
R,9
71,19
R,6
72,16
R,8
71,18
R,6
67,15
R,85
67,15
R,10
71,19
R,6
69,13
R,12
69,18
R,7
67,15
R,100
R,100
R,100
R,100
R,34
59,18
R,8
59,15
R,10
59,16
R,9
59,15
R,10
59,16
R,9
57,17
R,9
59,18
R,32
59,16
R,9
59,14
R,11
59,15
R,10
59,16
R,9
59,18
R,7
57,16
R,9
59,19
R,31
59,15
R,10
59,15
R,10
59,14
R,11
59,16
R,10
59,16
R,9
57,14
R,10
57,18
R,33
57,15
R,10
57,17
R,8
55,13
R,12
55,26
R,11
62,31
R,7
59,21
R,28
59,16
R,9
59,14
R,10
59,15
R,10
59,15
R,10
59,16
R,9
57,16
R,9
59,17
R,58
59,14
R,10
59,15
R,10
59,15
R,10
59,17
R,8
57,16
R,9
59,16
R,34
59,17
R,8
59,16
R,9
59,15
R,10
59,15
R,10
59,16
R,9
57,16
R,9
57,17
R,33
57,15
R,10
57,18
R,8
55,14
R,10
55,25
R,12
62,31
R,6
59,20
R,54
62,28
R,22
62,9
R,4
59,17
R,8
57,17
R,8
55,13
R,24
62,21
R,29
62,20
R,30
62,6
R,7
59,17
R,8
57,16
R,8
55,11
R,26
62,20
R,30
62,24
R,26
62,9
R,4
59,16
R,10
57,17
R,8
55,11
R,25
67,17
R,8
67,14
R,10
67,15
R,10
67,14
R,10
67,17
R,8
67,14
R,11
69,20
R,5
71,14
R,58
67,28
R,22
59,11
R,2
62,13
R,12
67,19
R,6
62,15
R,96
59,16
R,9
59,13
62,8
R,16
71,29
R,8
67,14
R,86
67,16
R,9
71,19
R,6
72,16
R,8
71,18
R,6
67,15
R,85
67,15
R,10
71,19
R,6
69,13
R,12
69,18
R,7
67,15
R,57
67,28
R,22
59,11
R,2
62,13
R,12
67,19
R,6
62,15
R,100
R,17
59,16
R,7
62,12
R,6
71,29
R,8
67,13
R,86
67,16
R,9
71,19
R,6
72,16
R,8
71,18
R,6
67,15
R,85
67,15
R,10
71,19
R,6
69,13
R,12
69,18
R,7
67,15
R,57
67,28
R,22
59,11
R,2
62,13
R,12
67,19
R,6
62,15
R,96
59,16
R,9
59,13
62,7
R,17
71,29
R,8
67,13
R,86
67,16
R,9
71,19
R,6
72,16
R,8
71,18
R,6
67,15
R,85
67,15
R,10
71,19
R,6
69,13
R,12
69,18
R,7
67,15
R,57
67,28
R,22
59,11
R,2
62,13
R,6
67,5
R,20
67,6
R,6
62,15
R,100
R,18
59,16
R,2
62,12
R,6
71,29
R,8
67,13
R,86
67,16
R,9
71,19
R,6
72,16
R,8
71,18
R,6
67,15
R,85
67,15
R,10
71,19
R,6
69,13
R,12
69,18
R,7
67,15
R,37
67,19
R,4
71,19
R,3
69,15
R,13
69,15
R,11
67,14
R,11
67,14
R,12
64,14
R,9
62,13
R,13
62,17
R,6
62,17
R,8
62,17
R,9
69,43
R,6
67,17
R,58
62,19
R,6
62,19
R,6
62,19
R,6
69,43
R,8
67,19
R,55
62,19
R,6
62,19
R,6
62,19
R,6
69,43
R,6
69,43
R,7
67,19
R,8
67,19
R,4
71,19
R,3
69,15
R,13
69,15
R,11
67,14
R,11
67,14
R,12
64,14
R,9
62,13
R,13
62,17
R,6
62,17
R,8
62,17
R,9
69,43
R,6
67,17
R,58
62,19
R,6
62,19
R,6
62,19
R,6
69,43
R,8
67,19
R,55
62,19
R,6
62,19
R,6
62,19
R,6
69,43
R,6
69,43
R,7
67,19
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,97
67,28
R,22
59,11
R,2
62,13
R,12
67,19
R,6
62,15
R,100
R,17
59,16
R,7
62,12
R,6
71,29
R,8
67,13
R,86
67,16
R,9
71,19
R,6
72,16
R,8
71,18
R,6
67,15
R,85
67,15
R,10
71,19
R,6
69,13
R,12
69,18
R,7
67,15
R,58
67,28
R,22
59,11
R,2
62,13
R,12
67,19
R,6
62,15
R,96
59,16
R,9
59,13
62,7
R,17
71,29
R,8
67,13
R,86
67,16
R,9
71,19
R,6
72,16
R,8
71,18
R,6
67,15
R,85
67,15
R,10
71,19
R,6
69,13
R,12
69,18
R,7
67,15
R,57
67,28
R,22
59,11
R,2
62,13
R,6
67,5
R,19
67,6
R,6
62,15
R,100
R,18
59,16
R,2
62,12
R,6
71,29
R,8
67,13
R,86
67,16
R,9
71,19
R,6
72,16
R,8
71,18
R,6
67,15
R,85
67,15
R,10
71,19
R,6
69,13
R,12
69,18
R,7
67,15
R,37
67,19
R,4
71,19
R,3
69,15
R,13
69,15
R,11
67,14
R,11
67,14
R,12
64,14
R,9
62,13
R,13
62,17
R,6
62,17
R,8
62,17
R,9
69,43
R,6
67,17
R,58
62,19
R,6
62,19
R,6
62,19
R,6
69,43
R,8
67,19
R,55
62,19
R,6
62,19
R,6
62,19
R,6
69,43
R,6
69,43
R,7
67,19
R,8
67,19
R,4
71,19
R,3
69,15
R,13
69,15
R,11
67,14
R,11
67,14
R,12
64,14
R,9
62,13
R,13
62,17
R,6
62,17
R,8
62,17
R,9
69,43
R,6
67,17
R,58
62,19
R,6
62,19
R,6
62,19
R,6
69,43
R,8
67,19
R,100
R,7
67,19
R,5
71,19
R,6
69,19
R,6
69,19
R,8
67,19
