79,84
R,1
78,84
R,1
74,84
R,1
69,84
R,1
71,84
R,1
71,42
R,1
69,100
69,100
69,13
R,1
79,84
R,1
78,84
R,1
74,84
R,1
69,84
R,1
71,84
R,1
71,42
R,1
69,100
69,100
69,13
R,44
76,42
R,1
74,84
R,1
73,20
R,1
73,20
R,1
73,20
R,1
73,20
R,1
73,42
R,1
74,84
R,1
76,42
R,1
74,84
R,1
73,20
R,1
73,20
R,1
73,20
R,1
73,20
R,1
73,42
R,1
74,84
R,1
76,42
R,1
74,42
R,1
76,42
R,1
74,42
R,1
76,42
R,1
74,42
R,1
76,42
R,1
79,42
R,1
78,42
R,1
79,42
R,1
78,42
R,1
74,100
74,70
R,44
76,42
R,1
74,84
R,1
73,20
R,1
73,20
R,1
73,20
R,1
73,20
R,1
73,42
R,1
74,84
R,1
76,42
R,1
74,84
R,1
73,20
R,1
73,20
R,1
73,20
R,1
73,20
R,1
73,42
R,1
74,84
R,1
76,42
R,1
74,42
R,1
76,42
R,1
74,42
R,1
76,42
R,1
74,42
R,1
76,42
R,1
79,42
R,1
78,42
R,1
79,42
R,1
78,42
R,1
74,100
74,70
R,23
69,20
R,1
71,20
R,1
74,20
R,1
78,42
R,1
76,84
R,1
76,42
R,1
74,42
R,1
74,42
R,1
74,20
R,1
74,20
R,1
74,20
R,1
74,20
R,1
74,20
R,1
74,20
R,1
69,42
R,1
67,84
R,23
69,20
R,1
69,20
R,1
71,20
R,1
78,42
R,1
76,42
R,23
74,20
R,1
73,42
R,1
73,42
R,1
73,42
R,1
73,42
R,1
71,20
R,1
74,100
74,70
R,100
R,94
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
78,42
R,1
81,42
R,1
74,20
R,1
73,100
73,6
R,1
74,42
R,1
74,84
R,1
74,20
R,1
76,42
R,1
74,63
R,1
74,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
76,20
R,1
78,63
R,1
73,20
R,1
73,42
R,1
74,63
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
78,42
R,1
81,42
R,1
74,20
R,1
73,100
73,6
R,1
74,42
R,1
74,84
R,1
74,20
R,1
76,42
R,1
74,63
R,1
74,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
76,20
R,1
78,42
R,1
76,20
R,1
78,20
R,1
76,20
R,1
78,20
R,1
76,20
R,1
74,42
R,1
71,100
71,70
R,100
R,73
74,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
76,20
R,1
78,63
R,1
73,42
R,1
73,84
R,1
79,84
R,1
78,84
R,1
74,84
R,1
69,84
R,1
71,84
R,1
71,42
R,1
69,100
69,100
69,13
R,1
79,84
R,1
78,84
R,1
74,84
R,1
69,84
R,1
71,84
R,1
71,42
R,1
69,100
69,100
69,13
R,44
76,42
R,1
74,84
R,1
73,20
R,1
73,20
R,1
73,20
R,1
73,20
R,1
73,42
R,1
74,84
R,1
76,42
R,1
74,84
R,1
73,20
R,1
73,20
R,1
73,20
R,1
73,20
R,1
73,42
R,1
74,84
R,1
76,42
R,1
74,42
R,1
76,42
R,1
74,42
R,1
76,42
R,1
74,42
R,1
76,42
R,1
79,42
R,1
78,42
R,1
79,42
R,1
78,42
R,1
74,100
74,25
R,4
74,20
R,1
74,20
R,1
78,20
R,1
78,20
R,1
78,20
R,1
78,20
R,1
79,20
R,1
78,20
R,1
74,20
R,1
74,20
R,1
74,20
R,1
74,20
R,1
76,42
R,1
76,42
R,1
74,20
R,1
74,20
R,1
78,20
R,1
78,20
R,1
78,20
R,1
78,20
R,1
79,20
R,1
78,20
R,1
74,20
R,1
74,20
R,1
74,20
R,1
74,20
R,1
76,42
R,1
76,42
R,1
74,20
R,1
74,20
R,44
79,42
R,1
79,42
R,1
78,20
R,1
74,42
R,1
74,42
R,1
74,42
R,1
76,42
R,23
79,42
R,1
78,42
R,1
79,42
R,1
78,42
R,1
74,100
74,27
R,66
69,20
R,1
71,20
R,1
74,20
R,1
78,42
R,1
76,84
R,1
76,42
R,1
74,42
R,1
74,42
R,1
74,20
R,1
74,20
R,1
74,20
R,1
74,20
R,1
74,20
R,1
74,20
R,1
69,42
R,1
67,84
R,23
69,20
R,1
69,20
R,1
71,20
R,1
78,42
R,1
76,42
R,23
74,20
R,1
73,42
R,1
73,42
R,1
73,42
R,1
73,42
R,1
71,20
R,1
74,100
74,70
R,100
R,94
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
78,42
R,1
81,42
R,1
74,20
R,1
73,100
73,6
R,1
74,42
R,1
74,84
R,1
74,20
R,1
76,42
R,1
74,63
R,1
74,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
76,20
R,1
78,63
R,1
73,20
R,1
73,42
R,1
74,63
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
78,42
R,1
81,42
R,1
74,20
R,1
73,100
73,6
R,1
74,42
R,1
74,84
R,1
74,20
R,1
76,42
R,1
74,63
R,1
74,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
76,20
R,1
78,42
R,1
76,20
R,1
78,20
R,1
76,20
R,1
78,20
R,1
76,20
R,1
74,42
R,1
71,100
71,70
R,100
R,73
74,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
76,20
R,1
78,63
R,1
73,42
R,1
73,84
R,1
78,84
R,1
78,84
R,1
78,84
R,1
81,84
R,1
83,84
R,1
73,42
R,1
74,84
R,100
R,30
78,84
R,1
78,84
R,1
78,84
R,1
81,84
R,1
83,84
R,1
85,42
R,1
86,84
R,1
74,20
R,1
74,20
R,44
81,42
R,1
76,63
R,1
74,63
R,1
81,42
R,1
76,63
R,1
74,63
R,1
81,42
R,1
76,63
R,1
74,63
R,1
81,42
R,1
76,42
R,1
74,20
R,1
74,42
R,23
76,42
R,1
79,42
R,1
78,20
R,1
74,42
R,23
69,42
R,1
79,42
R,1
78,20
R,1
74,20
R,1
74,20
R,1
74,20
R,1
76,42
R,1
78,42
R,1
78,42
R,1
76,20
R,1
74,42
R,1
69,42
R,1
76,42
R,1
74,42
R,1
73,42
R,1
74,20
R,87
81,20
R,1
74,20
R,1
74,20
R,1
74,20
R,1
74,42
R,1
71,42
R,1
73,42
R,1
74,42
R,87
81,20
R,1
74,20
R,1
74,20
R,1
74,20
R,1
74,42
R,1
71,42
R,1
73,42
R,1
74,42
R,44
74,20
R,1
74,20
R,1
79,20
R,1
78,42
R,1
74,42
R,23
74,20
R,1
74,20
R,1
74,20
R,1
69,42
R,1
69,42
R,100
R,100
R,80
71,20
R,1
73,20
R,1
74,42
R,1
73,20
R,1
74,42
R,1
73,42
R,1
74,42
R,1
73,42
R,1
69,42
R,1
71,63
R,1
71,100
71,100
71,13
R,87
71,20
R,1
73,20
R,1
74,42
R,1
73,20
R,1
74,42
R,1
73,42
R,1
74,42
R,1
73,42
R,1
69,42
R,1
71,63
R,1
71,100
71,70
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
78,42
R,1
81,42
R,1
74,20
R,1
73,100
73,6
R,1
74,42
R,1
74,84
R,1
74,20
R,1
76,42
R,1
74,63
R,1
74,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
76,20
R,1
78,63
R,1
73,20
R,1
73,42
R,1
74,63
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
78,42
R,1
81,42
R,1
74,20
R,1
73,100
73,6
R,1
74,42
R,1
74,84
R,1
74,20
R,1
76,42
R,1
74,63
R,1
74,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
76,20
R,1
78,42
R,1
76,20
R,1
78,20
R,1
76,20
R,1
78,20
R,1
76,20
R,1
74,42
R,1
71,100
71,70
R,100
R,73
74,20
R,1
76,20
R,1
78,42
R,1
78,42
R,1
76,20
R,1
78,63
R,1
73,42
R,1
73,84
R,1
79,84
R,1
78,84
R,1
74,84
R,1
69,84
R,1
71,84
R,1
71,42
R,1
69,100
69,100
69,13
R,1
79,84
R,1
78,84
R,1
74,84
R,1
69,84
R,1
71,84
R,1
71,42
R,1
69,100
69,100
69,13
